type,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index,age of turtles
s1,500,1,s1_500_1,3000,253,0.506,3641.01581,3.802371542,1.624505929,0.34,0
s1,500,1,s1_500_1,3000,250,0.5,3677.16,3.668,1.644,0.33,0
s1,500,1,s1_500_1,3000,268,0.536,3633.156716,3.850746269,1.611940299,0.33,0
s1,500,1,s1_500_1,3000,267,0.534,3223.318352,3.91011236,1.752808989,0.38,0
s1,500,1,s1_500_1,3000,252,0.504,3277.746032,3.670634921,1.773809524,0.37,0
s1,500,1,s1_500_1,3000,254,0.508,3921.795276,3.850393701,1.61023622,0.29,0
s1,500,1,s1_500_1,3000,261,0.522,3387.241379,3.735632184,1.716475096,0.35,0
s1,500,1,s1_500_1,3000,262,0.524,3634.980916,3.729007634,1.629770992,0.32,0
s1,500,1,s1_500_1,3000,257,0.514,3481.673152,3.766536965,1.704280156,0.37,0
s1,500,1,s1_500_1,3000,261,0.522,3250.693487,3.712643678,1.750957854,0.40,0
s1,500,1,s1_500_1,3000,263,0.526,3355.338403,3.863117871,1.745247148,0.39,0
s1,500,1,s1_500_1,3000,264,0.528,3648.791667,3.829545455,1.643939394,0.32,0
s1,500,1,s1_500_1,3000,251,0.502,3414.175299,3.868525896,1.74501992,0.37,0
s1,500,1,s1_500_1,3000,277,0.554,3732.425993,3.646209386,1.537906137,0.31,0
s1,500,1,s1_500_1,3000,269,0.538,3363.613383,3.817843866,1.680297398,0.37,0
s1,500,1,s1_500_1,3000,267,0.534,3319.250936,3.752808989,1.707865169,0.37,0
s1,500,1,s1_500_1,3000,257,0.514,3670.18677,3.953307393,1.649805447,0.33,0
s1,500,1,s1_500_1,3000,261,0.522,3477.218391,3.662835249,1.685823755,0.36,0
s1,500,1,s1_500_1,3000,263,0.526,3349.741445,3.813688213,1.737642586,0.35,0
s1,500,1,s1_500_1,3000,263,0.526,3379.418251,3.80608365,1.72243346,0.38,0
s1,500,1,s1_500_1,3000,265,0.53,3212.166038,3.777358491,1.754716981,0.38,0
s1,500,1,s1_500_1,3000,269,0.538,3714.159851,3.873605948,1.594795539,0.32,0
s1,500,1,s1_500_1,3000,260,0.52,3680.065385,3.830769231,1.638461538,0.33,0
s1,500,1,s1_500_1,3000,260,0.52,3529.707692,4.103846154,1.669230769,0.36,0
s1,500,1,s1_500_1,3000,257,0.514,3719.595331,3.957198444,1.645914397,0.32,0
s1,500,1,s1_500_1,3000,256,0.512,3478.550781,3.76171875,1.6953125,0.39,0
s1,500,1,s1_500_1,3000,261,0.522,3319.490421,3.609195402,1.69348659,0.42,0
s1,500,1,s1_500_1,3000,263,0.526,3374.072243,3.844106464,1.69581749,0.38,0
s1,500,1,s1_500_1,3000,271,0.542,3591.549815,3.878228782,1.608856089,0.34,0
