run number,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index
64,500,3,500_3,3000,295,0.59,3482.284746,3.766101695,1.820338983,0.466595696
67,500,3,500_3,3000,294,0.588,3747.44898,3.554421769,1.710884354,0.453269008
65,500,3,500_3,3000,293,0.586,3476.877133,3.914675768,1.815699659,0.482572284
70,500,3,500_3,3000,277,0.554,3873.953069,3.57400722,1.725631769,0.396513073
71,500,3,500_3,3000,293,0.586,3634.627986,3.645051195,1.825938567,0.441348411
68,500,3,500_3,3000,292,0.584,3438.178082,3.691780822,1.859589041,0.475353448
69,500,3,500_3,3000,297,0.594,3709.242424,3.895622896,1.804713805,0.439378589
72,500,3,500_3,3000,287,0.574,3591.324042,3.693379791,1.808362369,0.436919931
73,500,3,500_3,3000,295,0.59,3378.39322,3.905084746,1.844067797,0.48703306
74,500,3,500_3,3000,293,0.586,3389.802048,3.62116041,1.897610922,0.459984869
75,500,3,500_3,3000,275,0.55,3606.654545,3.810909091,1.88,0.45428082
77,500,3,500_3,3000,270,0.54,3664.885185,3.696296296,1.811111111,0.453193712
79,500,3,500_3,3000,272,0.544,3815.102941,3.797794118,1.720588235,0.436579022
76,500,3,500_3,3000,290,0.58,3601.289655,3.717241379,1.806896552,0.444269595
78,500,3,500_3,3000,279,0.558,3289.90681,3.810035842,1.899641577,0.50402306
82,500,3,500_3,3000,281,0.562,3686.572954,3.612099644,1.772241993,0.446629748
80,500,3,500_3,3000,297,0.594,3555.050505,3.622895623,1.818181818,0.437014383
81,500,3,500_3,3000,281,0.562,3536.637011,3.854092527,1.8113879,0.43816656
83,500,3,500_3,3000,288,0.576,3628.420139,3.597222222,1.833333333,0.466021093
84,500,3,500_3,3000,287,0.574,3392.12892,3.738675958,1.857142857,0.474440403
85,500,3,500_3,3000,290,0.58,3279.475862,3.796551724,1.889655172,0.483183393
86,500,3,500_3,3000,286,0.572,3400.318182,3.625874126,1.933566434,0.455262965
87,500,3,500_3,3000,287,0.574,3515.142857,3.595818815,1.81184669,0.488177056
88,500,3,500_3,3000,287,0.574,3584.926829,3.620209059,1.777003484,0.458101543
